,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento
453,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,610.0,4880.0,0,ruim
454,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.6,609.0,0.0,0,ruim
455,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,Y,?,?,SHEET,1.2,1200.0,150.0,0,ideal
456,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.2,609.9,0.0,0,ideal
457,?,R,0,0,?,S,2.0,0,?,?,?,?,B,?,?,?,?,SHEET,1.599,1300.0,4880.0,0,ruim
458,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.699,20.0,0.0,0,ruim
459,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.699,1320.0,0.0,0,mediano
460,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.3,1300.0,762.0,0,ruim
461,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,?,?,?,?,SHEET,0.6,520.0,4880.0,0,ruim
462,?,A,0,0,?,S,2.0,0,?,G,?,Y,?,?,?,?,?,COIL,0.3,610.0,0.0,0,ruim
463,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,610.0,4880.0,0,ruim
464,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.7,610.0,762.0,0,ruim
465,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim
466,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.6,610.0,762.0,0,ruim
467,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.6,609.9,0.0,0,ruim
468,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.3,519.9,762.0,0,ruim
469,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,COIL,1.0,75.0,0.0,0,mediano
470,?,K,55,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,2.3,900.0,0.0,500,mediano
471,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.3,610.0,4880.0,0,ruim
472,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8,356.1,762.0,0,ideal
473,?,R,0,0,?,S,2.0,0,?,?,?,Y,?,?,?,?,?,SHEET,0.8,1300.0,4880.0,0,mediano
474,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,3.201,190.0,0.0,0,mediano
475,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,COIL,2.501,600.1,0.0,0,ideal
476,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.999,610.0,762.0,0,ruim
477,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,1.2,609.9,0.0,0,ideal
478,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.799,609.9,0.0,0,ideal
479,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.699,610.0,150.0,0,ruim
480,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
481,?,K,45,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,1.5,640.0,0.0,0,mediano
482,?,A,0,0,?,?,?,500,?,G,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,0,ideal
483,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,1320.0,762.0,0,ruim
484,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.301,500.0,4120.0,0,ruim
485,?,?,0,45,?,S,?,0,?,E,?,?,?,?,Y,?,?,SHEET,0.7,1320.0,762.0,0,ruim
486,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,2.0,610.0,4170.0,0,ruim
487,?,K,65,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.0,610.0,0.0,0,mediano
488,?,K,65,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,2.3,640.0,0.0,500,mediano
489,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,1.6,610.0,612.0,0,ruim
490,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
491,?,A,0,0,?,S,2.0,0,?,F,?,?,?,?,?,?,?,SHEET,0.6,520.0,762.0,0,mediano
492,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,?,?,COIL,1.6,600.1,0.0,0,ideal
493,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,Y,?,?,?,SHEET,1.601,610.0,762.0,0,ruim
494,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.7,1320.0,762.0,0,ruim
495,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.6,1220.0,612.0,0,ideal
496,?,A,0,45,?,S,?,0,?,D,Y,?,?,?,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
497,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,?,?,?,?,SHEET,0.6,609.9,762.0,0,mediano
498,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,0.7,20.0,0.0,0,ruim
499,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,1320.0,0.0,0,ruim
500,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,ruim
501,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.601,610.0,0.0,0,ruim
502,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
503,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,1.599,1275.0,762.0,0,ideal
504,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,Y,?,?,SHEET,0.4,1220.0,4170.0,0,ruim
505,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.799,20.0,0.0,0,ruim
506,?,R,6,0,T,?,?,0,?,?,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ideal
507,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.599,610.0,762.0,0,ruim
508,?,K,45,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,3.2,900.0,0.0,600,mediano
509,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.301,610.0,0.0,0,mediano
510,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.6,609.9,1.0,0,ideal
511,?,A,0,0,?,S,3.0,0,N,E,?,?,B,Y,Y,?,?,SHEET,0.7,609.9,612.0,0,ruim
512,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,?,?,?,COIL,0.3,610.0,0.0,0,ideal
513,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,Y,?,?,?,SHEET,1.599,1300.0,762.0,0,ruim
514,?,A,0,0,?,S,2.0,0,?,G,Y,?,B,Y,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
515,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,1.2,599.9,0.0,0,ruim
516,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8,356.1,4880.0,0,ideal
517,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,Y,?,?,?,SHEET,1.601,610.0,4880.0,0,ruim
518,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,Y,?,?,SHEET,0.4,600.0,611.0,0,ideal
519,?,R,0,0,?,A,3.0,0,?,G,?,?,?,?,?,?,?,COIL,0.601,610.0,0.0,0,mediano
520,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.699,20.0,0.0,0,ruim
521,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.6,610.0,0.0,0,ruim
522,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.801,356.0,762.0,0,ideal
523,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,2.5,610.0,762.0,0,ideal
524,?,?,0,0,T,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,3.2,610.0,0.0,0,ruim
525,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,2.0,300.1,301.0,0,ideal
526,?,A,0,0,?,S,3.0,0,N,G,?,?,?,?,?,?,?,COIL,1.0,1320.0,0.0,0,ruim
527,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,1.6,610.0,762.0,0,ideal
528,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,1320.0,301.0,0,ruim
529,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,ruim
530,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
531,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.001,609.9,0.0,0,ideal
532,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.699,519.0,762.0,0,ruim
533,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.599,610.0,4170.0,0,ruim
534,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,4880.0,0,ruim
535,?,?,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.6,610.0,0.0,0,mediano
536,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.7,1320.0,762.0,0,ruim
537,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,1320.0,761.0,0,ruim
538,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.7,1220.0,0.0,0,ruim
539,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,?,?,?,?,SHEET,0.6,520.0,762.0,0,ruim
540,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.3,1320.0,762.0,0,ruim
541,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,3.201,0.0,0.0,0,ruim
542,ZS,R,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.699,1250.0,0.0,0,ruim
543,?,K,55,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,3.2,640.0,0.0,600,mediano
544,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,COIL,0.8,50.0,0.0,0,ruim
545,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.0,610.0,762.0,0,ruim
546,TN,A,0,0,?,S,3.0,0,N,?,?,?,?,?,?,?,?,COIL,1.6,609.9,0.0,0,ruim
547,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.799,20.0,0.0,0,ideal
548,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,COIL,0.601,610.0,0.0,0,ruim
549,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,1320.0,762.0,0,ruim
550,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.4,609.9,0.0,0,ideal
551,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,Y,?,?,?,SHEET,0.7,610.0,762.0,0,ruim
552,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.699,609.9,0.0,0,mediano
553,?,A,0,80,T,?,?,0,?,G,?,?,?,?,Y,?,?,COIL,0.5,28.0,0.0,0,ideal
554,?,A,0,0,?,S,2.0,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.7,610.0,4170.0,0,mediano
555,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,0.4,1220.0,761.0,0,ruim
556,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.4,610.0,150.0,0,mediano
557,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,610.0,762.0,0,ruim
558,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,610.0,761.0,0,ruim
559,?,A,0,85,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,4.0,1000.0,0.0,600,mediano
560,?,R,6,0,T,?,?,0,?,?,?,?,?,?,?,?,?,SHEET,1.0,610.0,4880.0,0,ruim
561,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,1.6,610.0,4880.0,0,mediano
562,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,609.9,762.0,0,ruim
563,?,A,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.601,610.0,0.0,0,ideal
564,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.699,1320.0,762.0,0,ruim
565,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,4.0,50.0,0.0,0,ideal
566,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,2.5,1274.9,762.0,0,mediano
567,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,609.9,4880.0,0,ruim
568,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,1.6,1320.0,759.0,0,ruim
569,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,1.6,60.0,0.0,0,mediano
570,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.801,1320.0,0.0,600,mediano
571,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.599,610.0,0.0,0,mediano
572,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,Y,?,?,SHEET,0.3,1220.0,4170.0,0,mediano
573,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,1.601,150.0,4880.0,0,ruim
574,?,A,0,60,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,1.001,1320.0,0.0,500,mediano
575,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.3,1320.0,762.0,0,ruim
576,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,SHEET,1.299,1050.0,1220.0,0,ideal
577,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,300.1,4880.0,0,ruim
578,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,1220.0,762.0,0,mediano
579,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.699,610.0,761.0,0,mediano
580,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,610.0,612.0,0,mediano
581,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
582,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim
583,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,0.8,1275.0,762.0,0,mediano
584,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.2,1320.0,611.0,0,ruim
585,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,610.0,1.0,0,ruim
586,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8,255.0,270.0,0,ideal
587,?,A,8,0,?,S,?,0,?,G,?,?,?,?,?,?,?,COIL,0.699,20.0,0.0,0,ruim
588,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,520.0,0.0,0,ruim
589,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,0.4,610.0,300.0,0,ruim
590,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.4,610.0,0.0,0,ruim
591,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,SHEET,0.9,610.0,3000.0,0,ideal
592,?,A,0,60,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,2.801,610.0,0.0,600,mediano
593,?,K,55,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,2.3,900.0,0.0,600,mediano
594,?,R,6,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,SHEET,0.6,1320.0,4880.0,0,mediano
595,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,1.6,610.0,4880.0,0,ruim
596,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,SHEET,1.2,610.0,4170.0,0,mediano
597,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,1.599,1320.0,4880.0,0,ruim
598,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,374.9,762.0,0,ruim
599,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,COIL,0.6,609.9,0.0,0,ideal
600,ZS,A,0,50,T,?,?,0,?,E,Y,?,B,?,?,?,?,SHEET,0.6,1250.0,4880.0,0,ideal
601,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,COIL,0.4,609.9,0.0,0,ruim
602,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
603,?,?,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.799,609.9,0.0,0,ideal
604,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
605,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,?,?,?,SHEET,0.601,1250.0,4880.0,0,ideal
606,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.4,610.0,0.0,0,ruim
607,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.3,1320.0,0.0,0,ruim
608,?,A,0,85,T,?,?,0,?,G,?,?,?,?,Y,?,?,COIL,1.0,20.0,0.0,0,mediano
609,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,1.6,610.0,0.0,0,ideal
610,?,M,0,0,?,?,?,600,?,?,?,?,?,?,?,?,?,SHEET,2.0,1320.0,4880.0,0,mediano
611,?,A,0,45,?,S,?,0,?,D,Y,?,?,?,?,?,?,SHEET,0.699,1320.0,760.0,0,ruim
612,?,K,55,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,2.3,640.0,0.0,600,mediano
613,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,3.2,1320.0,0.0,0,ruim
614,?,?,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.201,610.0,0.0,0,ideal
615,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.3,1320.0,4880.0,0,mediano
616,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,0.8,610.0,4880.0,0,ruim
617,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,0.7,609.9,0.0,0,ruim
618,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.4,1320.0,761.0,0,ruim
619,?,R,0,0,?,S,2.0,0,?,?,?,?,B,?,?,?,?,COIL,1.6,610.0,0.0,0,ruim
620,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,SHEET,1.6,1220.0,761.0,0,ideal
621,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.699,1220.0,4880.0,0,ruim
622,?,R,0,0,?,S,2.0,0,?,?,?,?,B,Y,?,?,?,SHEET,1.599,1525.0,4170.0,0,ruim
623,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,1.6,610.0,0.0,0,ideal
624,?,R,6,0,T,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.5,610.0,0.0,0,ideal
625,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.3,610.0,0.0,0,ruim
626,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
627,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.3,610.0,0.0,0,ruim
628,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.801,1320.0,0.0,600,mediano
629,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,1.6,610.0,762.0,0,ideal
630,ZS,A,0,50,T,?,?,0,?,E,Y,?,B,?,?,?,?,SHEET,0.451,610.0,762.0,0,mediano
631,?,?,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.601,610.0,0.0,0,ideal
632,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,COIL,0.6,609.9,0.0,0,ideal
633,?,R,0,0,?,S,3.0,0,?,?,?,?,B,Y,?,?,?,SHEET,1.599,1320.0,762.0,0,ruim
634,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.3,610.0,761.0,0,ruim
635,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.3,610.0,762.0,0,ruim
636,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.4,1320.0,150.0,0,ruim
637,?,A,0,0,?,?,?,500,?,G,?,?,?,?,?,?,?,COIL,0.9,1320.0,0.0,0,ideal
638,?,A,0,70,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.8,610.0,0.0,0,ideal
639,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,ruim
640,?,?,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.799,609.0,0.0,0,mediano
641,ZS,R,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.699,609.9,0.0,0,ruim
642,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
643,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,?,?,?,SHEET,0.4,1220.0,762.0,0,ideal
644,ZS,A,0,85,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.321,1220.0,0.0,0,ideal
645,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,1.6,1274.9,4880.0,0,ideal
646,?,A,0,45,?,S,?,0,?,D,?,?,?,Y,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
647,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,1.6,606.9,0.0,0,ruim
648,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim
649,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.699,610.0,0.0,0,ruim
650,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,20.0,0.0,0,ruim
651,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.0,900.0,0.0,0,mediano
652,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,B,SHEET,2.0,609.9,4880.0,0,ideal
653,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.2,150.0,612.0,0,ruim
654,?,A,0,60,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.6,610.0,0.0,0,ideal
655,?,S,70,0,?,?,?,0,?,?,?,?,?,?,?,?,?,SHEET,1.6,1320.0,762.0,0,mediano
656,?,?,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.201,1320.0,0.0,0,ideal
657,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.6,1525.0,612.0,0,ruim
658,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.3,150.0,4880.0,0,ruim
659,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.6,335.0,1.0,0,ideal
660,?,A,0,0,?,S,2.0,0,?,G,?,?,?,Y,?,?,?,SHEET,1.601,1300.0,762.0,0,ruim
661,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.3,1320.0,762.0,0,ruim
662,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6,609.0,4880.0,0,ruim
663,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,Y,?,?,COIL,0.7,1220.0,0.0,0,ruim
664,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.599,609.9,0.0,0,mediano
665,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.3,595.0,4880.0,0,ruim
666,?,R,0,0,?,A,3.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.7,1320.0,4880.0,0,ruim
667,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,COIL,1.6,610.0,0.0,0,ruim
668,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,COIL,0.8,75.0,0.0,0,ruim
669,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,ruim
670,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,0.7,150.0,612.0,0,mediano
671,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.7,150.0,762.0,0,ruim
672,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.6,1220.0,762.0,0,mediano
673,?,R,0,0,?,A,3.0,0,?,G,?,?,?,?,?,?,?,COIL,0.6,1320.0,0.0,0,ruim
674,ZS,A,0,70,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.6,610.0,0.0,0,ideal
675,?,S,70,0,?,?,?,0,?,?,?,?,M,?,?,?,?,SHEET,2.5,610.0,4880.0,0,mediano
676,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.2,609.9,4170.0,0,ruim
677,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim
678,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,1.599,610.0,762.0,0,ruim
679,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,609.9,612.0,0,mediano
